epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7657,1.80956,2.39082,1.75681,0.44904,0.35761,0.32366,0.13879,1.93918,2.23792,1.95454,0.00066484,0.00066484,0.00066484
2,109.88,1.82333,2.08346,1.77589,0.4105,0.35549,0.303,0.12763,1.99335,3.16361,1.89666,0.00130514,0.00130514,0.00130514
3,157.655,1.81926,2.01426,1.76049,0.44645,0.3298,0.31606,0.13263,2.01998,2.41281,2.00089,0.00191905,0.00191905,0.00191905
4,205.404,1.79051,1.96697,1.75301,0.5444,0.41537,0.42799,0.19484,1.87004,2.01362,1.80008,0.0018812,0.0018812,0.0018812
5,254.436,1.76242,1.90144,1.73439,0.53591,0.41113,0.41265,0.18332,1.88388,2.24833,1.79161,0.0018416,0.0018416,0.0018416
6,306.233,1.72834,1.84593,1.69466,0.5936,0.43753,0.47581,0.22759,1.80862,1.87094,1.76451,0.001802,0.001802,0.001802
7,357.704,1.72156,1.81529,1.68915,0.62913,0.45109,0.50645,0.24801,1.77063,1.75399,1.73847,0.0017624,0.0017624,0.0017624
8,410.242,1.68315,1.76819,1.67203,0.59332,0.4578,0.49119,0.24182,1.7609,1.75433,1.76687,0.0017228,0.0017228,0.0017228
9,463.508,1.67533,1.71878,1.65551,0.58582,0.45073,0.48392,0.23308,1.79757,1.78054,1.80642,0.0016832,0.0016832,0.0016832
10,516.589,1.66759,1.70674,1.65359,0.65571,0.50731,0.56594,0.28476,1.7129,1.60443,1.68296,0.0016436,0.0016436,0.0016436
11,569.095,1.63966,1.67248,1.62906,0.62341,0.4637,0.5145,0.25384,1.7634,1.70964,1.753,0.001604,0.001604,0.001604
12,621.362,1.6288,1.64676,1.63175,0.655,0.49104,0.54616,0.27275,1.74702,1.63664,1.75915,0.0015644,0.0015644,0.0015644
13,673.836,1.61573,1.61817,1.6235,0.65052,0.52428,0.5762,0.29358,1.70941,1.55647,1.70402,0.0015248,0.0015248,0.0015248
14,729.78,1.59311,1.58679,1.5894,0.66202,0.50886,0.57082,0.29227,1.70849,1.5276,1.68222,0.0014852,0.0014852,0.0014852
15,782.277,1.59799,1.56223,1.58514,0.65246,0.47855,0.53423,0.27628,1.6885,1.6196,1.69088,0.0014456,0.0014456,0.0014456
16,834.558,1.59869,1.56665,1.59417,0.69235,0.52805,0.5945,0.31671,1.64788,1.4643,1.62973,0.001406,0.001406,0.001406
17,886.811,1.5752,1.52034,1.57952,0.68557,0.54227,0.60215,0.32136,1.6523,1.43831,1.65033,0.0013664,0.0013664,0.0013664
18,939.589,1.56741,1.50649,1.57708,0.71884,0.54243,0.61523,0.32482,1.64617,1.42258,1.65066,0.0013268,0.0013268,0.0013268
19,992.297,1.56411,1.48214,1.56786,0.67516,0.52711,0.58318,0.30629,1.66863,1.55317,1.65472,0.0012872,0.0012872,0.0012872
20,1046.16,1.55575,1.46481,1.57305,0.72041,0.56126,0.63412,0.34154,1.62599,1.36654,1.62899,0.0012476,0.0012476,0.0012476
21,1100.51,1.54494,1.44272,1.55503,0.71443,0.57266,0.63804,0.34598,1.63466,1.33817,1.64422,0.001208,0.001208,0.001208
22,1151.17,1.52188,1.42942,1.5416,0.71845,0.5554,0.63058,0.34031,1.63688,1.37022,1.60715,0.0011684,0.0011684,0.0011684
23,1200.41,1.51722,1.4179,1.53896,0.71251,0.55658,0.62306,0.33673,1.63582,1.37483,1.64057,0.0011288,0.0011288,0.0011288
24,1249.56,1.52297,1.41639,1.5433,0.71954,0.57449,0.64121,0.35519,1.61163,1.30221,1.62337,0.0010892,0.0010892,0.0010892
25,1298.63,1.51157,1.38833,1.52885,0.73389,0.55233,0.62905,0.34527,1.60081,1.35342,1.6039,0.0010496,0.0010496,0.0010496
26,1348.03,1.4947,1.36064,1.51687,0.74065,0.57779,0.65061,0.35848,1.58612,1.28866,1.58909,0.00101,0.00101,0.00101
27,1396.55,1.48716,1.33994,1.50856,0.73494,0.5943,0.66028,0.36739,1.5837,1.26298,1.58312,0.0009704,0.0009704,0.0009704
28,1445.26,1.49105,1.3597,1.5177,0.74296,0.58039,0.66425,0.37315,1.55825,1.26082,1.56003,0.0009308,0.0009308,0.0009308
29,1494.17,1.46835,1.32638,1.50606,0.75256,0.59437,0.66998,0.37787,1.56028,1.22286,1.55532,0.0008912,0.0008912,0.0008912
30,1547.07,1.47504,1.30491,1.49964,0.76586,0.60302,0.68028,0.38476,1.55019,1.21161,1.56368,0.0008516,0.0008516,0.0008516
31,1601.14,1.44912,1.28086,1.48177,0.75682,0.59052,0.67325,0.38102,1.5387,1.21134,1.56132,0.000812,0.000812,0.000812
32,1656.44,1.4446,1.26079,1.48047,0.76625,0.59424,0.67869,0.38434,1.54556,1.18757,1.5608,0.0007724,0.0007724,0.0007724
33,1710.89,1.43416,1.26174,1.47306,0.76266,0.60915,0.69028,0.39847,1.52218,1.16847,1.53661,0.0007328,0.0007328,0.0007328
34,1764.5,1.44032,1.23893,1.47081,0.76629,0.61551,0.69357,0.39951,1.51903,1.14699,1.54114,0.0006932,0.0006932,0.0006932
35,1817.16,1.41352,1.21669,1.45675,0.77367,0.6076,0.69056,0.40034,1.50974,1.15351,1.52399,0.0006536,0.0006536,0.0006536
36,1872.36,1.4093,1.19982,1.44799,0.76686,0.63196,0.70034,0.40535,1.49817,1.13854,1.51207,0.000614,0.000614,0.000614
37,1926.73,1.40104,1.19684,1.44304,0.77416,0.63111,0.70321,0.40728,1.49374,1.12871,1.51044,0.0005744,0.0005744,0.0005744
38,1979.28,1.40017,1.18112,1.43408,0.78311,0.6307,0.71147,0.41679,1.48151,1.09663,1.49653,0.0005348,0.0005348,0.0005348
39,2033.34,1.38434,1.16189,1.43297,0.76839,0.64639,0.71712,0.41948,1.48913,1.10039,1.49686,0.0004952,0.0004952,0.0004952
40,2086.77,1.38254,1.17028,1.43253,0.77367,0.63673,0.71497,0.41705,1.49129,1.09996,1.49834,0.0004556,0.0004556,0.0004556
41,2154.72,1.38489,1.03932,1.44406,0.78231,0.64639,0.7202,0.42105,1.48005,1.07793,1.4914,0.000416,0.000416,0.000416
42,2206.41,1.36657,1.01892,1.43799,0.79028,0.63555,0.72087,0.42404,1.47592,1.06654,1.49215,0.0003764,0.0003764,0.0003764
43,2258.12,1.34648,0.98105,1.41965,0.79513,0.64828,0.72845,0.43323,1.46435,1.05418,1.48346,0.0003368,0.0003368,0.0003368
44,2308.51,1.34312,0.96884,1.41291,0.81209,0.63744,0.73012,0.43302,1.46002,1.04635,1.47882,0.0002972,0.0002972,0.0002972
45,2356.96,1.32054,0.94054,1.39571,0.81289,0.64686,0.73693,0.43922,1.4543,1.02274,1.47288,0.0002576,0.0002576,0.0002576
46,2405.39,1.31375,0.93069,1.39422,0.80954,0.65064,0.73704,0.44243,1.44471,1.01999,1.47038,0.000218,0.000218,0.000218
47,2453.71,1.29777,0.91383,1.38399,0.81694,0.65331,0.73996,0.44598,1.43791,1.0073,1.46139,0.0001784,0.0001784,0.0001784
48,2502.11,1.2888,0.90535,1.38103,0.79337,0.67067,0.74213,0.44623,1.43571,1.00091,1.46155,0.0001388,0.0001388,0.0001388
49,2550.58,1.28604,0.88939,1.3758,0.82274,0.65912,0.74649,0.44987,1.43286,0.98852,1.45785,9.92e-05,9.92e-05,9.92e-05
50,2599.91,1.27185,0.88592,1.36403,0.82597,0.657,0.74673,0.45072,1.43342,0.98865,1.45779,5.96e-05,5.96e-05,5.96e-05
