epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9033,1.78725,2.59218,1.70297,0.48467,0.37435,0.36593,0.16716,1.84565,2.18895,1.7428,0.0033242,0.0033242,0.0700822
2,104.538,1.71809,2.00689,1.66163,0.49966,0.37831,0.37028,0.1666,1.90511,2.09289,1.81496,0.00659162,0.00659162,0.0400163
3,154.903,1.77398,2.00704,1.71,0.34267,0.29703,0.22797,0.09362,2.06431,2.79449,1.93651,0.00979305,0.00979305,0.00988437
4,203.832,1.81601,2.02959,1.7603,0.4762,0.36539,0.36373,0.15279,1.97361,2.13623,1.94676,0.009703,0.009703,0.009703
5,252.847,1.79416,1.97789,1.74653,0.52447,0.38449,0.40329,0.18987,1.90174,1.97166,1.82216,0.009604,0.009604,0.009604
6,301.788,1.75369,1.88343,1.70989,0.57318,0.43329,0.45811,0.21915,1.80585,1.91999,1.80005,0.009505,0.009505,0.009505
7,351.399,1.74357,1.85904,1.70275,0.54783,0.41325,0.4237,0.20111,1.80493,2.21712,1.80367,0.009406,0.009406,0.009406
8,401.844,1.71281,1.81412,1.68381,0.57597,0.46974,0.486,0.23067,1.78969,1.87607,1.7526,0.009307,0.009307,0.009307
9,452.186,1.69821,1.7589,1.65627,0.60841,0.46488,0.51008,0.2463,1.78354,1.75195,1.74707,0.009208,0.009208,0.009208
10,501.514,1.6818,1.73982,1.6647,0.59202,0.4736,0.51218,0.2532,1.74106,1.74817,1.71026,0.009109,0.009109,0.009109
11,551.786,1.6622,1.70947,1.63205,0.63377,0.47195,0.52766,0.26939,1.73067,1.71006,1.73797,0.00901,0.00901,0.00901
12,601.902,1.65245,1.67512,1.63842,0.64353,0.50024,0.5547,0.28583,1.7018,1.60539,1.69462,0.008911,0.008911,0.008911
13,652.059,1.63772,1.6293,1.62905,0.64158,0.49623,0.55143,0.28784,1.69513,1.6032,1.71129,0.008812,0.008812,0.008812
14,702.003,1.61871,1.60696,1.60304,0.64199,0.49741,0.55516,0.28865,1.70654,1.58946,1.68121,0.008713,0.008713,0.008713
15,752.462,1.61933,1.58072,1.60064,0.67616,0.53258,0.59596,0.31691,1.66783,1.4614,1.65433,0.008614,0.008614,0.008614
16,802.496,1.61124,1.58276,1.59903,0.67654,0.51226,0.5798,0.30998,1.67256,1.51426,1.657,0.008515,0.008515,0.008515
17,852.634,1.5997,1.54921,1.59118,0.67999,0.52598,0.5836,0.30923,1.67187,1.52388,1.66939,0.008416,0.008416,0.008416
18,902.625,1.58751,1.52967,1.58394,0.68573,0.56247,0.61562,0.32865,1.62323,1.47871,1.62819,0.008317,0.008317,0.008317
19,952.601,1.5793,1.50548,1.57309,0.67937,0.5198,0.57024,0.30193,1.67475,1.51284,1.6676,0.008218,0.008218,0.008218
20,1003.02,1.57402,1.48579,1.57327,0.72667,0.55276,0.6298,0.33635,1.65392,1.39621,1.63665,0.008119,0.008119,0.008119
21,1053.37,1.56369,1.46457,1.56407,0.71938,0.55176,0.62367,0.33748,1.66894,1.38132,1.65968,0.00802,0.00802,0.00802
22,1103.87,1.54564,1.4449,1.55632,0.70831,0.51978,0.60403,0.31965,1.66066,1.43925,1.64212,0.007921,0.007921,0.007921
23,1153.62,1.53253,1.42944,1.55076,0.7118,0.55544,0.63025,0.34017,1.63622,1.36957,1.62543,0.007822,0.007822,0.007822
24,1203.38,1.55108,1.4364,1.5597,0.70972,0.56035,0.62649,0.34234,1.62128,1.3446,1.62803,0.007723,0.007723,0.007723
25,1254,1.53721,1.41754,1.53661,0.72536,0.57119,0.64937,0.35234,1.60665,1.33074,1.59353,0.007624,0.007624,0.007624
26,1304.73,1.52369,1.39812,1.53604,0.73467,0.5884,0.65709,0.36568,1.59899,1.27719,1.60476,0.007525,0.007525,0.007525
27,1355.3,1.51664,1.37832,1.52882,0.70943,0.55728,0.63113,0.3478,1.62371,1.36105,1.61771,0.007426,0.007426,0.007426
28,1405.25,1.52912,1.39517,1.53984,0.72822,0.57669,0.65163,0.36694,1.59069,1.27294,1.59969,0.007327,0.007327,0.007327
29,1455.8,1.50141,1.36582,1.53094,0.74848,0.57779,0.66017,0.36553,1.58016,1.26402,1.57276,0.007228,0.007228,0.007228
30,1505.87,1.50684,1.34925,1.51862,0.74569,0.57402,0.65237,0.36489,1.58323,1.30475,1.5861,0.007129,0.007129,0.007129
31,1556.07,1.48411,1.31582,1.50496,0.73583,0.59147,0.66334,0.36937,1.58123,1.27358,1.57319,0.00703,0.00703,0.00703
32,1606.96,1.47735,1.30438,1.50075,0.74444,0.59467,0.67071,0.37479,1.566,1.22638,1.57953,0.006931,0.006931,0.006931
33,1657.29,1.47426,1.3089,1.49178,0.74176,0.61414,0.6819,0.38813,1.55209,1.21224,1.5473,0.006832,0.006832,0.006832
34,1707.9,1.48416,1.29751,1.49029,0.77177,0.60632,0.68594,0.38836,1.55013,1.19276,1.54763,0.006733,0.006733,0.006733
35,1758.19,1.46228,1.26642,1.48592,0.77417,0.59312,0.68327,0.38585,1.55808,1.18746,1.55424,0.006634,0.006634,0.006634
36,1808.87,1.45634,1.26201,1.47245,0.76831,0.60137,0.68808,0.39521,1.53394,1.17324,1.53225,0.006535,0.006535,0.006535
37,1859.13,1.45266,1.24853,1.47236,0.7568,0.62943,0.69563,0.39483,1.54833,1.16475,1.52673,0.006436,0.006436,0.006436
38,1909.43,1.4507,1.24767,1.4678,0.75974,0.60531,0.68416,0.39626,1.52109,1.1774,1.52813,0.006337,0.006337,0.006337
39,1960.01,1.44072,1.22351,1.46422,0.76751,0.62117,0.70061,0.40259,1.52807,1.14731,1.51985,0.006238,0.006238,0.006238
40,2010.53,1.44387,1.24309,1.46857,0.7759,0.62849,0.70394,0.40858,1.5209,1.14523,1.52697,0.006139,0.006139,0.006139
41,2061.29,1.43593,1.22701,1.46106,0.77785,0.62211,0.70075,0.40917,1.51162,1.12774,1.50772,0.00604,0.00604,0.00604
42,2111.57,1.42108,1.21382,1.45263,0.78858,0.6306,0.71546,0.41447,1.52458,1.11139,1.51095,0.005941,0.005941,0.005941
43,2162.22,1.41584,1.18731,1.44298,0.78145,0.63302,0.70987,0.41712,1.4991,1.11482,1.47913,0.005842,0.005842,0.005842
44,2212.94,1.40881,1.17889,1.44009,0.76648,0.62023,0.69985,0.41031,1.50314,1.13286,1.49896,0.005743,0.005743,0.005743
45,2263.87,1.41311,1.18095,1.44724,0.78665,0.63885,0.71893,0.41978,1.49593,1.08795,1.49235,0.005644,0.005644,0.005644
